Unique.ID,country,latitude,longitude,Basin.ID,start.year,end.year,num.year,dur.year,eqr.start,eqr.end,eqr.change,richness,rich.rarefied,rich.coverage,ab,fd,trait.ses,taxa.comp,trait.comp,id.level,richness_circularity,ab_circularity,taxa_circularity,trait_circularity
AUT_001_MZB_LO_7,Austria,48.71625733,16.8890666,1291835,2008,2019,8,12,0.203800382,0.30023341,0.096433028,4.675475,3.293479,4.513061,19.724843,10.711824,0.145473211,0.108919,0.022789,Mixed,FALSE,FALSE,TRUE,FALSE
BEL_005_MZB_LO_1,Belgium,51.3056897,3.3726602,1172395,1989,2010,7,22,0.778609729,0.680334297,-0.098275433,0.003589,-2.069595,-3.055376,13.368504,0.414563,0.072468065,0.06,0.003863,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_10,Belgium,51.1140785,5.6113233,1173482,1989,2001,7,13,0.236486487,0.495945946,0.259459459,1.963481,5.173677,9.376948,-9.557916,3.844944,-0.079036303,0.059891,0.016124,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_100,Belgium,51.2584827,5.0543543,1172945,1994,2017,8,24,0.502387884,0.713047723,0.210659839,2.047663,-1.532126,-2.456451,14.794537,4.246427,-0.018918797,0.062085,0.007798,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_101,Belgium,51.2479801,5.0838323,1172945,1989,2017,8,29,0.691402715,0.807422132,0.116019418,1.089364,-0.526123,-1.714835,3.909213,2.354362,0.02503037,0.025618,0.004265,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_102,Belgium,51.2548321,5.0863727,1172945,1989,2023,14,35,0.525650932,0.806496484,0.280845552,1.602776,-0.006359,0.804564,7.532525,3.334408,-0.002900673,0.030873,0.011585,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_103,Belgium,51.2610922,5.093088,1172945,1989,2017,11,29,0.574793069,0.832461784,0.257668715,1.098325,-0.950394,-3.378494,5.60909,2.15343,-0.036967827,0.030857,0.014427,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_104,Belgium,51.2317682,5.1137642,1172945,1989,2017,7,29,0.664388799,0.627614253,-0.036774545,-0.289742,-0.434928,0.712049,3.773775,-0.664007,-0.015345888,0.003623,0.003638,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_105,Belgium,51.1218073,4.7422421,1172945,1994,2023,17,30,0.408466338,0.922446315,0.513979977,3.274607,0.6632,0.639253,7.46003,6.782272,-0.039616326,0.06056,0.015013,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_106,Belgium,51.1155494,4.7981173,1172945,1989,2014,11,26,0.488360543,0.587145052,0.09878451,0.482026,0.057643,2.293642,5.017578,1.007766,-0.008126823,0.047454,0.010916,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_107,Belgium,51.1113553,4.8068752,1172945,1989,2018,11,30,0.383317874,0.637122843,0.253804969,1.768365,1.360052,2.342683,-0.282945,3.739177,0.003809335,0.058637,0.021488,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_108,Belgium,51.1020002,4.9080983,1172945,1998,2020,8,23,0.319966814,0.317533186,-0.002433628,0.769247,-2.997768,-5.41703,12.563635,1.659543,0.011398727,0.027512,0.014816,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_109,Belgium,51.0825218,4.9865799,1172945,1989,2014,8,26,0.385110334,0.756968545,0.371858211,4.187727,1.636161,3.549358,10.326234,8.788172,-0.033863346,0.061085,0.012415,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_11,Belgium,51.1196984,5.7214918,1173482,1993,2018,7,26,0.653571429,0.564285714,-0.089285714,-1.53906,-1.189279,-0.989804,-1.816652,-3.606582,-0.094118072,0.012247,0.011123,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_110,Belgium,51.1394641,5.000794,1172945,1996,2022,9,27,0.717056901,0.778412603,0.061355702,1.609056,-1.966931,-4.356716,12.307603,3.465004,0.024172653,0.038227,0.004769,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_111,Belgium,51.1476372,5.0037487,1172945,1991,2020,16,30,0.48843823,0.834210193,0.345771963,3.156531,0.382216,0.345913,10.35496,6.658346,-0.022167197,0.046571,0.007555,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_112,Belgium,51.1416162,5.2064661,1172945,1996,2022,10,27,0.475751674,0.901367855,0.425616181,4.263562,0.671628,1.315051,13.166014,9.082225,-0.013257686,0.047358,0.008015,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_113,Belgium,51.1573728,5.1809614,1172945,1992,2022,12,31,0.442050526,0.857093172,0.415042646,3.281496,0.062003,0.173858,10.802292,6.780037,-0.032427969,0.06986,0.010238,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_115,Belgium,50.8080728,4.2979693,1172945,1991,2023,8,33,0.357979071,0.442151871,0.0841728,0.425094,-0.994749,-1.546497,8.602654,1.311425,0.050307641,0.07702,0.02319,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_116,Belgium,50.8551373,4.4458118,1172945,1991,2010,7,20,0.578131692,0.645770878,0.067639186,0.185338,0.615215,1.070598,-1.092786,0.299208,-0.027910109,0.068057,0.013754,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_118,Belgium,50.7234354,4.2852926,1172945,1994,2015,8,22,0.679220717,0.698293176,0.019072459,0.336,-2.211155,-3.614497,10.845432,0.676315,-0.00711611,0.056283,0.017289,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_119,Belgium,50.9933763,4.5919832,1172945,1992,2014,9,23,0.481619938,0.574143302,0.092523365,0.17571,-0.254465,-0.554796,1.846328,0.209977,-0.030536963,0.040746,0.01457,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_12,Belgium,51.1292048,5.8238817,1173482,1989,2013,12,25,0.470061156,0.690590318,0.220529162,1.543826,0.881726,1.549208,2.78631,3.308658,-0.002945012,0.076475,0.014464,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_120,Belgium,50.9699646,4.7186926,1172945,1991,2021,15,31,0.180303683,0.413589098,0.233285415,6.482259,4.257977,2.625472,6.105571,5.263405,-0.006852736,0.097033,0.030551,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_121,Belgium,51.0084941,4.9551954,1172945,1996,2008,11,13,0.2399091,0.463834572,0.223925471,6.344207,3.651391,4.906598,9.381332,13.752867,-0.05462451,0.164525,0.022892,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_122,Belgium,50.9912955,5.0411398,1172945,1991,2016,12,26,0.215997371,0.566568212,0.350570842,4.389904,4.584269,5.176521,-0.777451,8.472545,-0.053057692,0.058214,0.01391,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_123,Belgium,50.8473471,5.5007827,1172945,1989,2020,19,32,0.102525562,0.689289312,0.58676375,6.341593,4.300669,4.637804,5.771886,12.090749,-0.0565203,0.080197,0.023668,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_124,Belgium,50.9630929,4.7199793,1172945,1995,2005,10,11,0.243722944,0.355194805,0.111471861,5.784958,10.542356,14.861489,4.882265,8.719788,-0.017847117,0.232227,0.025546,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_125,Belgium,50.9805634,4.8483569,1172945,1991,2018,10,28,0.392974023,0.710523624,0.317549601,1.604257,1.503707,3.494232,0.54567,3.234781,-0.042197388,0.058452,0.019033,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_126,Belgium,51.0106218,5.0460201,1172945,2009,2023,7,15,0.055545764,0.67946185,0.623916086,18.851814,7.915728,6.830761,31.025807,NA,NA,0.232976,0.08499,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_127,Belgium,51.0574713,5.1454912,1172945,1990,2012,11,23,0.097894348,0.297007758,0.199113409,7.95025,4.217203,4.92126,5.66032,NA,NA,0.071998,0.028527,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_13,Belgium,51.0945091,5.8027274,1173482,1995,2007,7,13,0.45896256,0.62469448,0.165731919,3.384179,2.07239,3.099452,5.16953,8.044523,0.094028104,0.037915,0.008099,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_130,Belgium,50.9899947,5.0653776,1172945,1991,2007,11,17,0.551912947,0.82012518,0.268212233,3.292844,2.600983,5.504179,-3.105458,7.697404,-0.005970498,0.0836,0.013332,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_131,Belgium,51.0845752,5.2865829,1172945,1994,2020,10,27,0.412354086,0.768968872,0.356614786,4.268948,1.511274,3.143364,5.390263,9.294611,-0.026169576,0.087663,0.017111,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_134,Belgium,50.9498623,5.1155864,1172945,1993,2005,11,13,0.358979592,0.590816327,0.231836735,6.174985,3.866506,9.618827,4.956857,13.04826,-0.110780734,0.105383,0.027644,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_135,Belgium,50.8685625,4.9816038,1172945,1989,2000,8,12,0.262798875,0.452320675,0.1895218,3.170244,5.249426,5.78051,-9.239924,7.06419,0.020268823,0.049504,0.004925,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_136,Belgium,50.8454075,4.8819062,1172945,1993,2016,14,24,0.336858704,0.558509455,0.221650751,3.694656,0.844709,1.389916,11.045797,8.142939,0.024415286,0.075357,0.021071,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_137,Belgium,51.1011698,4.0057001,1172945,1992,2004,9,13,0.532700417,0.847336134,0.314635717,7.943363,1.904044,5.214002,10.228419,17.877206,-0.009323166,0.025444,0.016144,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_138,Belgium,51.1697601,3.8483916,1172945,1992,2022,13,31,0.467227166,0.840217201,0.372990035,3.874156,3.268489,4.627866,5.204313,8.310166,0.022699105,0.046424,0.013139,Mixed,TRUE,FALSE,FALSE,FALSE
BEL_005_MZB_LO_139,Belgium,50.7891246,4.9189883,1172945,1994,2021,10,28,0.299617834,0.462993631,0.163375796,3.893196,-0.399734,-1.182436,18.330804,4.892528,-0.013511825,0.026963,0.010252,Mixed,TRUE,FALSE,FALSE,FALSE
